cell_class	channel_combo	leiden_resolution
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	5
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	10
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	11
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	12
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	13
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	14
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	15
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	16
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	17
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	18
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	19
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	20
all	DAPI_ATACsee_H4Kacme_pSer5_KI67_H3K4me3_H3K27ac_pSer2_H3K9me3	25
all	DAPI_pSer5	5
all	DAPI_pSer5	10
all	DAPI_pSer5	11
all	DAPI_pSer5	12
all	DAPI_pSer5	13
all	DAPI_pSer5	14
all	DAPI_pSer5	15
all	DAPI_pSer5	16
all	DAPI_pSer5	17
all	DAPI_pSer5	18
all	DAPI_pSer5	19
all	DAPI_pSer5	20
all	DAPI_pSer5	25
all	DAPI_KI67	5
all	DAPI_KI67	10
all	DAPI_KI67	11
all	DAPI_KI67	12
all	DAPI_KI67	13
all	DAPI_KI67	14
all	DAPI_KI67	15
all	DAPI_KI67	16
all	DAPI_KI67	17
all	DAPI_KI67	18
all	DAPI_KI67	19
all	DAPI_KI67	20
all	DAPI_KI67	25
all	DAPI_H4Kacme	5
all	DAPI_H4Kacme	10
all	DAPI_H4Kacme	11
all	DAPI_H4Kacme	12
all	DAPI_H4Kacme	13
all	DAPI_H4Kacme	14
all	DAPI_H4Kacme	15
all	DAPI_H4Kacme	16
all	DAPI_H4Kacme	17
all	DAPI_H4Kacme	18
all	DAPI_H4Kacme	19
all	DAPI_H4Kacme	20
all	DAPI_H4Kacme	25
all	DAPI_ATACsee	5
all	DAPI_ATACsee	10
all	DAPI_ATACsee	11
all	DAPI_ATACsee	12
all	DAPI_ATACsee	13
all	DAPI_ATACsee	14
all	DAPI_ATACsee	15
all	DAPI_ATACsee	16
all	DAPI_ATACsee	17
all	DAPI_ATACsee	18
all	DAPI_ATACsee	19
all	DAPI_ATACsee	20
all	DAPI_ATACsee	25
all	DAPI_H3K9me3	5
all	DAPI_H3K9me3	10
all	DAPI_H3K9me3	11
all	DAPI_H3K9me3	12
all	DAPI_H3K9me3	13
all	DAPI_H3K9me3	14
all	DAPI_H3K9me3	15
all	DAPI_H3K9me3	16
all	DAPI_H3K9me3	17
all	DAPI_H3K9me3	18
all	DAPI_H3K9me3	19
all	DAPI_H3K9me3	20
all	DAPI_H3K9me3	25
all	DAPI_pSer2	5
all	DAPI_pSer2	10
all	DAPI_pSer2	11
all	DAPI_pSer2	12
all	DAPI_pSer2	13
all	DAPI_pSer2	14
all	DAPI_pSer2	15
all	DAPI_pSer2	16
all	DAPI_pSer2	17
all	DAPI_pSer2	18
all	DAPI_pSer2	19
all	DAPI_pSer2	20
all	DAPI_pSer2	25
all	DAPI_H3K27ac	5
all	DAPI_H3K27ac	10
all	DAPI_H3K27ac	11
all	DAPI_H3K27ac	12
all	DAPI_H3K27ac	13
all	DAPI_H3K27ac	14
all	DAPI_H3K27ac	15
all	DAPI_H3K27ac	16
all	DAPI_H3K27ac	17
all	DAPI_H3K27ac	18
all	DAPI_H3K27ac	19
all	DAPI_H3K27ac	20
all	DAPI_H3K27ac	25
all	DAPI_H3K4me3	5
all	DAPI_H3K4me3	10
all	DAPI_H3K4me3	11
all	DAPI_H3K4me3	12
all	DAPI_H3K4me3	13
all	DAPI_H3K4me3	14
all	DAPI_H3K4me3	15
all	DAPI_H3K4me3	16
all	DAPI_H3K4me3	17
all	DAPI_H3K4me3	18
all	DAPI_H3K4me3	19
all	DAPI_H3K4me3	20
all	DAPI_H3K4me3	25
all	DAPI_H3K4me3_pSer2	5
all	DAPI_H3K4me3_pSer2	10
all	DAPI_H3K4me3_pSer2	11
all	DAPI_H3K4me3_pSer2	12
all	DAPI_H3K4me3_pSer2	13
all	DAPI_H3K4me3_pSer2	14
all	DAPI_H3K4me3_pSer2	15
all	DAPI_H3K4me3_pSer2	16
all	DAPI_H3K4me3_pSer2	17
all	DAPI_H3K4me3_pSer2	18
all	DAPI_H3K4me3_pSer2	19
all	DAPI_H3K4me3_pSer2	20
all	DAPI_H3K4me3_pSer2	25
all	DAPI_pSer2_pSer5	5
all	DAPI_pSer2_pSer5	10
all	DAPI_pSer2_pSer5	11
all	DAPI_pSer2_pSer5	12
all	DAPI_pSer2_pSer5	13
all	DAPI_pSer2_pSer5	14
all	DAPI_pSer2_pSer5	15
all	DAPI_pSer2_pSer5	16
all	DAPI_pSer2_pSer5	17
all	DAPI_pSer2_pSer5	18
all	DAPI_pSer2_pSer5	19
all	DAPI_pSer2_pSer5	20
all	DAPI_pSer2_pSer5	25
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	5
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	10
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	11
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	12
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	13
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	14
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	15
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	16
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	17
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	18
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	19
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	20
all	DAPI_H3K4me3_H3K27ac_H3K9me3_H4Kacme	25
all	ATACsee	5
all	ATACsee	10
all	ATACsee	11
all	ATACsee	12
all	ATACsee	13
all	ATACsee	14
all	ATACsee	15
all	ATACsee	16
all	ATACsee	17
all	ATACsee	18
all	ATACsee	19
all	ATACsee	20
all	ATACsee	25
all	H4Kacme	5
all	H4Kacme	10
all	H4Kacme	11
all	H4Kacme	12
all	H4Kacme	13
all	H4Kacme	14
all	H4Kacme	15
all	H4Kacme	16
all	H4Kacme	17
all	H4Kacme	18
all	H4Kacme	19
all	H4Kacme	20
all	H4Kacme	25
